行业,就业人数_万,暴露指数,暴露区间,影响规模指数
农、林、牧、渔业,69.31,0.6177,中(0.55-0.65),42.812787
制造业,3577.82,0.5239,低(0.40-0.55),1874.419898
电力、热力、燃气及水生产和供应业,361.0,0.6177,中(0.55-0.65),222.9897
建筑业,1638.09,0.6233,中(0.55-0.65),1021.0214969999998
批发和零售业,782.44,0.689,高(0.65-0.75),539.10116
交通运输、仓储和邮政业,767.88,0.566,中(0.55-0.65),434.62008
住宿和餐饮业,288.42,0.5033,低(0.40-0.55),145.161786
信息传输、软件和信息技术服务业,529.51,0.7906,极高(>0.75),418.630606
金融业,692.37,0.7405,高(0.65-0.75),512.6999850000001
房地产业,509.39,0.6233,中(0.55-0.65),317.50278699999996
租赁和商务服务业,827.84,0.5033,低(0.40-0.55),416.65187199999997
科学研究和技术服务业,451.66,0.7906,极高(>0.75),357.082396
水利、环境和公共设施管理业,257.9,0.6177,中(0.55-0.65),159.30482999999998
居民服务、修理和其他服务业,85.16,0.5033,低(0.40-0.55),42.861028
教育,1940.5,0.6623,高(0.65-0.75),1285.19315
卫生和社会工作,1126.87,0.5732,中(0.55-0.65),645.921884
文化、体育和娱乐业,147.02,0.5349,低(0.40-0.55),78.64099800000001
